Ensembl Protein ID	Ensembl Gene ID	Associated Gene Name
ENSP00000371003	ENSG00000015171	ZMYND11
ENSP00000452959	ENSG00000015171	ZMYND11
ENSP00000226218	ENSG00000109072	VTN
ENSP00000416240	ENSG00000109072	VTN
ENSP00000440485	ENSG00000110801	PSMD9
ENSP00000443772	ENSG00000110801	PSMD9
ENSP00000355141	ENSG00000162430	SEPN1
ENSP00000355141	ENSG00000162430	SEPN1
ENSP00000398704	ENSG00000168779	SHOX2
ENSP00000419362	ENSG00000168779	SHOX2
ENSP00000309166	ENSG00000173933	RBM4
ENSP00000425446	ENSG00000173933	RBM4
ENSP00000330408	ENSG00000182149	IST1
ENSP00000456200	ENSG00000182149	IST1
ENSP00000352273	ENSG00000197406	DIO3
ENSP00000427336	ENSG00000197406	DIO3
ENSP00000450980	ENSG00000211448	DIO2
ENSP00000450980	ENSG00000211448	DIO2
ENSP00000450980	ENSG00000211448	DIO2
ENSP00000420939	ENSG00000250722	SEPP1
ENSP00000420939	ENSG00000250722	SEPP1
ENSP00000420939	ENSG00000250722	SEPP1
ENSP00000420939	ENSG00000250722	SEPP1
ENSP00000420939	ENSG00000250722	SEPP1
ENSP00000420939	ENSG00000250722	SEPP1
ENSP00000420939	ENSG00000250722	SEPP1
ENSP00000420939	ENSG00000250722	SEPP1
ENSP00000420939	ENSG00000250722	SEPP1
ENSP00000420939	ENSG00000250722	SEPP1
ENSP00000246166	ENSG00000257365	FNTB
ENSP00000443140	ENSG00000257365	FNTB
ENSP00000377311	ENSG00000267673	FDX1L
ENSP00000441093	ENSG00000267673	FDX1L
ENSP00000362111	ENSG00000000003	TSPAN6
ENSP00000362122	ENSG00000000005	TNMD
ENSP00000360644	ENSG00000000419	DPM1
ENSP00000356744	ENSG00000000457	SCYL3
ENSP00000286031	ENSG00000000460	C1orf112
ENSP00000363115	ENSG00000000938	FGR
ENSP00000356399	ENSG00000000971	CFH
ENSP00000002165	ENSG00000001036	FUCA2
ENSP00000229416	ENSG00000001084	GCLC
ENSP00000345702	ENSG00000001167	NFYA
ENSP00000363944	ENSG00000001497	LAS1L
ENSP00000002829	ENSG00000001617	SEMA3F
ENSP00000003084	ENSG00000001626	CFTR
ENSP00000265742	ENSG00000001629	ANKIB1
ENSP00000003100	ENSG00000001630	CYP51A1
ENSP00000344668	ENSG00000001631	KRIT1
ENSP00000351284	ENSG00000002016	RAD52
ENSP00000309103	ENSG00000002330	BAD
ENSP00000226299	ENSG00000002549	LAP3
ENSP00000370588	ENSG00000002586	CD99
ENSP00000002596	ENSG00000002587	HS3ST1
ENSP00000354193	ENSG00000002726	AOC1
ENSP00000222462	ENSG00000002745	WNT16
ENSP00000379228	ENSG00000002746	HECW1
ENSP00000265854	ENSG00000002822	MAD1L1
ENSP00000325240	ENSG00000002834	LASP1
ENSP00000000412	ENSG00000003056	M6PR
ENSP00000443191	ENSG00000003096	KLHL13
ENSP00000001146	ENSG00000003137	CYP26B1
ENSP00000379908	ENSG00000003147	ICA1
ENSP00000264276	ENSG00000003393	ALS2
ENSP00000286186	ENSG00000003400	CASP10
ENSP00000312455	ENSG00000003402	CFLAR
ENSP00000233156	ENSG00000003436	TFPI
ENSP00000002125	ENSG00000003509	NDUFAF7
ENSP00000343054	ENSG00000003756	RBM5
ENSP00000180173	ENSG00000003987	MTMR7
ENSP00000004531	ENSG00000003989	SLC7A2
ENSP00000000233	ENSG00000004059	ARF5
ENSP00000406738	ENSG00000004139	SARM1
ENSP00000317128	ENSG00000004399	PLXND1
ENSP00000346921	ENSG00000004455	AK2
ENSP00000226279	ENSG00000004468	CD38
ENSP00000001008	ENSG00000004478	FKBP4
ENSP00000383042	ENSG00000004487	KDM1A
ENSP00000158166	ENSG00000004660	CAMKK1
ENSP00000395449	ENSG00000004700	RECQL
ENSP00000004982	ENSG00000004776	HSPB6
ENSP00000320038	ENSG00000004777	ARHGAP33
ENSP00000007516	ENSG00000004779	NDUFAB1
ENSP00000005178	ENSG00000004799	PDK4
ENSP00000231749	ENSG00000004838	ZMYND10
ENSP00000384881	ENSG00000004846	ABCB5
ENSP00000368332	ENSG00000004848	ARX
ENSP00000400101	ENSG00000004864	SLC25A13
ENSP00000434614	ENSG00000004897	CDC27
ENSP00000262418	ENSG00000004939	SLC4A1
ENSP00000352561	ENSG00000004948	CALCR
ENSP00000326579	ENSG00000004961	HCCS
ENSP00000005340	ENSG00000004975	DVL2
ENSP00000262803	ENSG00000005007	UPF1
ENSP00000005587	ENSG00000005020	SKAP2
ENSP00000360671	ENSG00000005022	SLC25A5
ENSP00000378145	ENSG00000005059	CCDC109B
ENSP00000006015	ENSG00000005073	HOXA11
ENSP00000292614	ENSG00000005075	POLR2J
ENSP00000225296	ENSG00000005100	DHX33
ENSP00000321684	ENSG00000005102	MEOX1
ENSP00000367787	ENSG00000005156	LIG3
ENSP00000005386	ENSG00000005175	RPAP3
ENSP00000289416	ENSG00000005187	ACSM3
ENSP00000261377	ENSG00000005189	AC004381.6
ENSP00000377914	ENSG00000005194	CIAPIN1
ENSP00000006101	ENSG00000005243	COPZ2
ENSP00000265717	ENSG00000005249	PRKAR2B
ENSP00000312244	ENSG00000005302	MSL3
ENSP00000262367	ENSG00000005339	CREBBP
ENSP00000345824	ENSG00000005379	BZRAP1
ENSP00000225275	ENSG00000005381	MPO
ENSP00000222381	ENSG00000005421	PON1
ENSP00000318690	ENSG00000005436	GCFC2
ENSP00000413575	ENSG00000005469	CROT
ENSP00000265723	ENSG00000005471	ABCB4
ENSP00000257745	ENSG00000005483	KMT2E
ENSP00000293894	ENSG00000005513	SOX8
ENSP00000305721	ENSG00000005700	IBTK
ENSP00000382511	ENSG00000005801	ZNF195
ENSP00000384288	ENSG00000005810	MYCBP2
ENSP00000347834	ENSG00000005812	FBXL3
ENSP00000349252	ENSG00000005844	ITGAL
ENSP00000420927	ENSG00000005882	PDK2
ENSP00000007722	ENSG00000005884	ITGA3
ENSP00000304985	ENSG00000005889	ZFX
ENSP00000408411	ENSG00000005893	LAMP2
ENSP00000307617	ENSG00000005955	GGNBP2
ENSP00000262407	ENSG00000005961	ITGA2B
ENSP00000321388	ENSG00000005981	ASB4
ENSP00000261386	ENSG00000006007	GDE1
ENSP00000351422	ENSG00000006015	C19orf60
ENSP00000376188	ENSG00000006016	CRLF1
ENSP00000007699	ENSG00000006047	YBX2
ENSP00000374467	ENSG00000006071	ABCC8
ENSP00000004921	ENSG00000006074	CCL18
ENSP00000225245	ENSG00000006075	CCL3
ENSP00000343610	ENSG00000006114	SYNRG
ENSP00000005284	ENSG00000006116	CACNG3
ENSP00000314414	ENSG00000006125	AP2B1
ENSP00000321106	ENSG00000006128	TAC1
ENSP00000219069	ENSG00000006194	ZNF263
ENSP00000006053	ENSG00000006210	CX3CL1
ENSP00000352011	ENSG00000006283	CACNA1G
ENSP00000326737	ENSG00000006327	TNFRSF12A
ENSP00000428480	ENSG00000006377	DLX6
ENSP00000451263	ENSG00000006432	MAP3K9
ENSP00000005257	ENSG00000006451	RALA
ENSP00000005260	ENSG00000006453	BAIAP2L1
ENSP00000380692	ENSG00000006459	KDM7A
ENSP00000385551	ENSG00000006468	ETV1
ENSP00000347581	ENSG00000006530	AGK
ENSP00000264042	ENSG00000006607	FARP2
ENSP00000005226	ENSG00000006611	USH1C
ENSP00000275428	ENSG00000006625	GGCT
ENSP00000265728	ENSG00000006634	DBF4
